loss,val_loss
0.14047624,0.374952
0.12175948,0.07085852
0.06025934,0.14245287
0.0527481,0.13458394
0.045318376,0.197155
0.06299847,0.22584794
0.06041182,0.25361025
0.092773795,0.20136844
0.058067195,0.20124623
0.064659625,0.20411305
0.055990875,0.18998003
0.062465142,0.17106357
0.051073756,0.1506921
0.05250223,0.1808214
0.05651793,0.15062289
0.054284353,0.13711204
0.054322816,0.11769973
0.047108013,0.15762877
0.050320406,0.14851096
0.052713685,0.14980483
0.050675098,0.11238145
0.047382027,0.13483393
0.060800787,0.12799521
0.04885575,0.12250402
0.05303616,0.09761812
0.043216255,0.14079213
0.04942124,0.11317523
0.04114121,0.115141116
0.048086703,0.092125036
0.040448472,0.1266299
0.046677932,0.1062736
0.044791598,0.10901814
0.05903137,0.08138426
0.05138543,0.108662345
0.06277956,0.11630178
0.045524735,0.05875712
0.04292466,0.050163098
0.043451633,0.073648095
0.052255083,0.15058307
0.08353232,0.098608755
0.049255688,0.10076918
0.053212088,0.09142335
0.04705673,0.11782483
0.058015183,0.118663184
0.04942093,0.09802663
0.050387193,0.08910829
0.04198175,0.099987745
0.04961082,0.09408231
0.046010684,0.099730186
0.058948506,0.11164094
0.05843425,0.07620008
0.052210152,0.09403737
0.04968107,0.089513816
0.04194163,0.09350554
0.042600207,0.08588253
0.047905464,0.09614458
0.04937477,0.082533434
0.049701378,0.10095104
0.048812848,0.068920374
0.0463678,0.07286135
0.040114403,0.056367632
0.041486163,0.057647508
0.039434135,0.053147238
0.04241151,0.04634406
0.036757506,0.042545352
0.03753034,0.048377614
0.035562504,0.06922028
0.037848648,0.08360959
0.040986877,0.09405198
0.047233764,0.08377959
0.047133647,0.091969036
0.046815977,0.08399101
0.053498663,0.11174633
0.045396347,0.062191684
0.03131639,0.06669488
0.036203492,0.067186005
0.038916912,0.072948985
0.046213195,0.0946281
0.050239764,0.13403895
0.05532753,0.05997935
0.043905877,0.09854387
0.046824805,0.05559178
0.03769912,0.0697609
0.039664976,0.066704325
0.03810578,0.08589997
0.04246659,0.08358623
0.044122133,0.10486045
0.04711466,0.06666974
0.046921387,0.10782751
0.045989074,0.055203352
0.034616902,0.09569137
0.044299666,0.07026082
0.044891898,0.123318255
0.052236896,0.04557448
0.03881248,0.05830572
0.03551061,0.05737766
0.037999786,0.06893988
0.03747628,0.059987698
0.04044265,0.08171547
0.04362742,0.07396434
0.047556613,0.112266585
0.045210462,0.05077768
0.03137474,0.07746291
0.038034447,0.06844307
0.046161022,0.122077964
0.058203448,0.054061297
0.038244504,0.09741132
0.04550848,0.06109031
0.043234292,0.09876246
0.043547872,0.04610136
0.033483204,0.06931307
0.043073475,0.08213116
0.04953361,0.12562375
0.049845852,0.050489027
0.031974822,0.08915924
0.046089787,0.0639859
0.0502398,0.101679444
0.042457372,0.05075113
0.02926495,0.059323937
0.03729704,0.06263658
0.042278793,0.08113204
0.042181883,0.059595507
0.04194817,0.09504898
0.042958733,0.045143384
0.036265567,0.059642266
0.03610182,0.05361746
0.03897848,0.07718605
0.039579984,0.058128595
0.039560534,0.10203839
0.04400441,0.043239154
0.035844892,0.054833207
0.034378227,0.062390625
0.0406264,0.076891504
0.038709667,0.06530022
0.0398533,0.08858298
0.04102532,0.054176856
0.039359543,0.07123839
0.036511347,0.056893174
0.037985235,0.080320574
0.041074514,0.062759385
0.04165437,0.084038235
0.040985417,0.049858775
0.036173537,0.06878513
0.036614608,0.063173644
0.03951634,0.08494432
0.041016314,0.050205953
0.038059495,0.07873974
0.03898753,0.054551665
0.036285855,0.09452977
0.043682978,0.045311797
0.03840381,0.061703455
0.036240328,0.07215017
0.04182206,0.08188356
0.039914936,0.05698709
0.03636516,0.07222005
0.037490495,0.06339652
0.041402634,0.08253995
0.03954015,0.049140155
0.03365385,0.06605465
0.03539885,0.053275723
0.036334224,0.07277571
0.03779231,0.055829607
0.03727818,0.086714156
0.04087686,0.051128726
0.03540965,0.07956053
0.039752852,0.054462235
0.03751558,0.09093062
0.041837852,0.042783182
0.03390098,0.05671828
0.033338137,0.06417406
0.03858707,0.06977315
0.036611922,0.06458681
0.037292946,0.08656553
0.040848125,0.05376604
0.037371125,0.07285764
0.036920432,0.054141648
0.036079507,0.08719204
0.039919958,0.04751836
0.033095498,0.0733127
0.03777356,0.06273209
0.040349275,0.081371434
0.03932393,0.04768941
0.032849718,0.07496529
0.038688455,0.055212144
0.03816577,0.08348073
0.03968379,0.040945876
0.03184711,0.053215705
0.032872755,0.07299012
0.040750243,0.08181957
0.038801167,0.052657623
0.03197033,0.06989258
0.036562733,0.057392515
0.03814602,0.078056596
0.037901927,0.04594863
0.031983897,0.05353696
0.032676943,0.049940083
0.035320636,0.057775505
0.032908574,0.038574103
0.030270165,0.048081826
0.029850928,0.07753001
0.03755513,0.045408625
0.032008637,0.056638874
0.03230608,0.04833531
0.03444393,0.047243975
0.028990095,0.06405281
0.03533502,0.05745777
0.03615781,0.07875528
0.03784868,0.048671152
0.032829892,0.056765262
0.031390157,0.038189087
0.029992446,0.054692764
0.030025825,0.07341128
0.03600524,0.060578834
0.03866276,0.08947261
0.040075433,0.04677474
0.032056298,0.060003776
0.031611387,0.04174152
0.03216752,0.052505635
0.028547905,0.06386443
0.033800527,0.06212613
0.040088154,0.08024703
0.037741497,0.048317153
0.0309663,0.07244749
0.0377573,0.050935257
0.03566239,0.077691846
0.03964356,0.04792044
0.032914322,0.06385951
0.033644315,0.05046373
0.033529572,0.08126595
0.03810748,0.047327153
0.032315433,0.07142574
0.035850745,0.0516286
0.033241894,0.08212316
0.03837018,0.04473274
0.032991827,0.055564273
0.031386573,0.044664
0.031062685,0.04259887
0.027956666,0.038098626
0.027692104,0.034360565
0.027109586,0.035932925
0.027260765,0.04638184
0.028063837,0.041426238
0.030644236,0.039848886
0.026485452,0.040682256
0.026715204,0.047142185
0.028318401,0.056342237
0.030285837,0.06006112
0.034184676,0.08245117
0.037536178,0.05174421
0.034834925,0.06712885
0.034408182,0.05041351
0.03177288,0.06025908
0.032656103,0.049551193
0.032403585,0.05224859
0.030182343,0.038310267
0.029552687,0.05305914
0.030156216,0.07271784
0.03543248,0.049872987
0.032677762,0.07197191
0.035627466,0.058853593
0.034928516,0.07833866
0.03796765,0.044641383
0.031973675,0.04822018
0.030220203,0.040010005
0.029167544,0.037477516
0.026982704,0.042812563
0.02679174,0.05540448
0.030634684,0.05743053
0.035488423,0.08289063
0.038443167,0.04344213
0.028395623,0.05309925
0.031142438,0.05135591
0.033530477,0.05828991
0.031147445,0.04831457
0.031224798,0.05408113
0.030468602,0.035990648
0.027119992,0.036751486
0.026116898,0.045900602
0.028084597,0.059160825
0.03497805,0.07159037
0.034565773,0.050897274
0.032779306,0.059228845
0.031726554,0.04803103
0.03011897,0.05011833
0.028876819,0.04909747
0.031069284,0.05677304
0.031045372,0.05090345
0.032599904,0.060274508
0.033741537,0.0469788
0.02978479,0.046856515
0.027758813,0.045820083
0.029339429,0.04733098
0.02848989,0.038205143
0.027317746,0.052821416
0.03045666,0.070830785
0.034663234,0.050020695
0.031608865,0.06704106
0.032526515,0.046646874
0.03150044,0.05363969
0.029704088,0.053169105
,
0.040306773,0.076037412
